student_id,minutes_watched,paid_in_q2
2303,19.08,1
2303,19.08,1
2303,19.08,1
2303,19.08,1
2303,19.08,1
2303,19.08,1
2303,19.08,1
2304,195.35,1
2304,195.35,1
2306,20.45,1
2308,1.70,1
2312,51.25,1
2318,3.58,1
2318,3.58,1
2324,2069.83,1
2332,34.13,1
2335,36.38,1
2338,42.35,1
2339,182.27,1
2339,182.27,1
2339,182.27,1
2339,182.27,1
2340,150.00,1
2351,18.75,1
2351,18.75,1
2351,18.75,1
2354,1848.67,1
2359,26.08,1
2362,125.08,1
2364,397.43,1
2364,397.43,1
2364,397.43,1
2364,397.43,1
2364,397.43,1
2364,397.43,1
2364,397.43,1
2375,59.80,1
2375,59.80,1
2375,59.80,1
2377,61.92,1
2377,61.92,1
2385,367.62,1
2397,712.63,1
2398,0.42,1
2403,2.37,1
2406,36.00,1
2409,1648.95,1
2409,1648.95,1
2410,462.68,1
2414,219.82,1
2417,47.23,1
2417,47.23,1
2429,16.12,1
2431,12.58,1
2437,72.22,1
2437,72.22,1
2441,188.00,1
2447,574.28,1
2463,6.98,1
2463,6.98,1
2463,6.98,1
2493,3971.10,1
2495,0.18,1
2501,145.05,1
2501,145.05,1
2501,145.05,1
2501,145.05,1
2501,145.05,1
2506,11.50,1
2516,72.40,1
2529,84.67,1
2536,905.38,1
2544,31.40,1
2546,95.87,1
2546,95.87,1
2550,9.62,1
2550,9.62,1
2550,9.62,1
2555,105.80,1
2575,77.85,1
2577,3.45,1
2582,1577.52,1
2591,1674.27,1
2591,1674.27,1
2591,1674.27,1
2617,158.37,1
2620,73.53,1
2621,221.12,1
2622,15.87,1
2629,216.07,1
2629,216.07,1
2629,216.07,1
2630,90.05,1
2636,1487.57,1
2636,1487.57,1
2641,4.60,1
2642,148.72,1
2644,157.17,1
2650,30.20,1
2651,57.92,1
2653,669.40,1
2653,669.40,1
2655,162.00,1
2657,28.17,1
2657,28.17,1
2657,28.17,1
2657,28.17,1
2661,5.18,1
2663,101.92,1
2671,10.38,1
2685,8.12,1
2685,8.12,1
2685,8.12,1
2688,413.17,1
2688,413.17,1
2692,94.75,1
2692,94.75,1
2692,94.75,1
2692,94.75,1
2698,42.17,1
2706,918.18,1
2708,0.17,1
2710,17.15,1
2719,49.20,1
2723,114.78,1
2725,26.90,1
2726,6.58,1
2731,39.83,1
2738,0.28,1
2741,2.25,1
2743,11.23,1
2750,14.98,1
2754,901.28,1
2761,0.30,1
2764,36.55,1
2764,36.55,1
2764,36.55,1
2764,36.55,1
2764,36.55,1
2764,36.55,1
2764,36.55,1
2764,36.55,1
2764,36.55,1
2772,1272.78,1
2774,557.95,1
2793,79.28,1
2797,39.58,1
2803,182.38,1
2805,248.62,1
