purchase_id,student_id,plan_id,date_start,date_end,date_refunded
519,3914,2,2020-04-15,2021-04-15,NULL
520,15859,2,2020-04-15,2021-04-15,NULL
521,9380,2,2020-04-15,2021-04-15,NULL
522,5714,2,2020-04-15,2021-04-15,NULL
523,27832,0,2020-04-15,2020-05-15,NULL
524,15345,2,2020-04-15,2021-04-15,NULL
525,3160,2,2020-04-15,2021-04-15,NULL
526,4609,2,2020-04-15,2021-04-15,NULL
527,880,2,2020-04-15,2021-04-15,NULL
528,56461,2,2020-04-15,2021-04-15,NULL
529,1081,2,2020-04-15,2021-04-15,NULL
530,8874,2,2020-04-15,2021-04-15,NULL
531,5050,2,2020-04-15,2021-04-15,NULL
532,13067,2,2020-04-15,2021-04-15,NULL
533,25863,2,2020-04-15,2021-04-15,NULL
534,7994,2,2020-04-15,2021-04-15,NULL
535,1867,2,2020-04-15,2021-04-15,NULL
536,3577,2,2020-04-15,2021-04-15,NULL
537,16171,0,2020-04-15,2020-05-15,NULL
538,5704,2,2020-04-15,2021-04-15,NULL
539,954,2,2020-04-15,2021-04-15,NULL
540,16450,2,2020-04-15,2021-04-15,NULL
541,21124,2,2020-04-15,2021-04-15,NULL
542,7282,2,2020-04-15,2021-04-15,NULL
543,7334,0,2020-04-15,2020-05-15,NULL
544,3780,2,2020-04-15,2021-04-15,NULL
545,8992,2,2020-04-15,2021-04-15,NULL
546,27077,2,2020-04-15,2021-04-15,NULL
547,884,2,2020-04-15,2021-04-15,NULL
548,3012,2,2020-04-15,2021-04-15,NULL
549,19005,2,2020-04-15,2021-04-15,NULL
550,7094,2,2020-04-15,2021-04-15,NULL
551,17132,2,2020-04-15,2021-04-15,NULL
552,1363,2,2020-04-15,2021-04-15,NULL
553,7107,2,2020-04-15,2021-04-15,NULL
554,1385,2,2020-04-15,2021-04-15,NULL
555,6278,2,2020-04-15,2021-04-15,NULL
556,13223,2,2020-04-15,2021-04-15,NULL
557,10002,0,2020-04-15,2020-05-15,NULL
558,817,2,2020-04-15,2021-04-15,NULL
559,2304,2,2020-04-15,2021-04-15,NULL
560,48027,2,2020-04-16,2021-04-16,NULL
561,8825,2,2020-04-16,2021-04-16,NULL
562,26866,2,2020-04-16,2021-04-16,NULL
563,7358,2,2020-04-16,2021-04-16,NULL
